,val_loss,val_accuracy,loss,accuracy
0,0.496905654668808,0.8223810791969299,0.44004423590376973,0.7901865243911743
1,0.5142514705657959,0.8321801424026489,0.3896160178976904,0.8448227643966675
2,0.32570701837539673,0.8398175835609436,0.3795610949564844,0.8550313711166382
3,0.33559367060661316,0.83134925365448,0.35290287097353473,0.8719890117645264
4,0.4428878724575043,0.8275084495544434,0.3396050481602542,0.8758017420768738
5,0.4609513282775879,0.8298624157905579,0.34466437917390524,0.8753916621208191
6,0.4170757532119751,0.8327456712722778,0.3323584107196162,0.8780826330184937
7,0.5565531849861145,0.8363295793533325,0.3230164216624366,0.8832098245620728
8,0.31101179122924805,0.8398624658584595,0.32512577180762064,0.8841747045516968
9,0.3720792829990387,0.8425449728965759,0.32052739308093964,0.8870823979377747
